species	node	family	total_hits	filtered_hits
Alligator_mississippiensis	Bilateria	Let-7	15	14
Alligator_mississippiensis	Bilateria	Mir-1	6	4
Alligator_mississippiensis	Eumetazoa	Mir-10	8	8
Alligator_mississippiensis	Vertebrata	Mir-101	5	2
Alligator_mississippiensis	Deuterostomia	Mir-103	4	3
Alligator_mississippiensis	Vertebrata	Mir-122	1	1
Alligator_mississippiensis	Bilateria	Mir-124	4	4
Alligator_mississippiensis	Olfactores	Mir-126	1	1
Alligator_mississippiensis	Vertebrata	Mir-128	2	2
Alligator_mississippiensis	Chordata	Mir-129	3	3
Alligator_mississippiensis	Vertebrata	Mir-130	6	6
Alligator_mississippiensis	Gnathostomata	Mir-1306	1	1
Alligator_mississippiensis	Vertebrata	Mir-132	4	3
Alligator_mississippiensis	Vertebrata	Mir-1329	1	1
Alligator_mississippiensis	Bilateria	Mir-133	4	4
Alligator_mississippiensis	Chordata	Mir-135	4	3
Alligator_mississippiensis	Bilateria	Mir-137	2	2
Alligator_mississippiensis	Vertebrata	Mir-138	3	2
Alligator_mississippiensis	Gnathostomata	Mir-1388	2	1
Alligator_mississippiensis	Gnathostomata	Mir-139	1	1
Alligator_mississippiensis	Amniota	Mir-1397	1	1
Alligator_mississippiensis	Vertebrata	Mir-140	1	1
Alligator_mississippiensis	Amniota	Mir-1416	2	1
Alligator_mississippiensis	Vertebrata	Mir-142	4	2
Alligator_mississippiensis	Vertebrata	Mir-143	6	1
Alligator_mississippiensis	Vertebrata	Mir-144	1	1
Alligator_mississippiensis	Vertebrata	Mir-145	2	1
Alligator_mississippiensis	Vertebrata	Mir-146	3	3
Alligator_mississippiensis	Vertebrata	Mir-147	2	1
Alligator_mississippiensis	Vertebrata	Mir-148	3	2
Alligator_mississippiensis	Olfactores	Mir-15	22	10
Alligator_mississippiensis	Gnathostomata	Mir-150	2	1
Alligator_mississippiensis	Bilateria	Mir-153	2	2
Alligator_mississippiensis	Vertebrata	Mir-155	2	1
Alligator_mississippiensis	Tetrapoda	Mir-1662	1	1
Alligator_mississippiensis	Diapsida	Mir-1677	5066	55
Alligator_mississippiensis	Vertebrata	Mir-17	9	8
Alligator_mississippiensis	Diapsida	Mir-1720	1	1
Alligator_mississippiensis	Vertebrata	Mir-1788	2	1
Alligator_mississippiensis	Tetrapoda	Mir-1805	1	1
Alligator_mississippiensis	Vertebrata	Mir-181	6	6
Alligator_mississippiensis	Bilateria	Mir-184	1	1
Alligator_mississippiensis	Osteichthyes	Mir-187	3	1
Alligator_mississippiensis	Vertebrata	Mir-19	3	3
Alligator_mississippiensis	Bilateria	Mir-190	2	2
Alligator_mississippiensis	Gnathostomata	Mir-191	1	1
Alligator_mississippiensis	Vertebrata	Mir-192	2	2
Alligator_mississippiensis	Bilateria	Mir-193	5	5
Alligator_mississippiensis	Vertebrata	Mir-194	23	2
Alligator_mississippiensis	Olfactores	Mir-196	3	3
Alligator_mississippiensis	Vertebrata	Mir-199	3	3
Alligator_mississippiensis	Vertebrata	Mir-202	1	1
Alligator_mississippiensis	Vertebrata	Mir-203	2	1
Alligator_mississippiensis	Vertebrata	Mir-204	4	3
Alligator_mississippiensis	Vertebrata	Mir-205	3	2
Alligator_mississippiensis	Vertebrata	Mir-208	1	1
Alligator_mississippiensis	Vertebrata	Mir-21	1	1
Alligator_mississippiensis	Bilateria	Mir-210	1	1
Alligator_mississippiensis	Gnathostomata	Mir-214	8	1
Alligator_mississippiensis	Bilateria	Mir-216	2	2
Alligator_mississippiensis	Chordata	Mir-217	2	1
Alligator_mississippiensis	Vertebrata	Mir-218	2	2
Alligator_mississippiensis	Gnathostomata	Mir-2184	2	2
Alligator_mississippiensis	Gnathostomata	Mir-2188	1	1
Alligator_mississippiensis	Bilateria	Mir-219	2	2
Alligator_mississippiensis	Bilateria	Mir-22	3	1
Alligator_mississippiensis	Vertebrata	Mir-221	4	3
Alligator_mississippiensis	Vertebrata	Mir-223	2	1
Alligator_mississippiensis	Vertebrata	Mir-23	2	2
Alligator_mississippiensis	Vertebrata	Mir-24	5	2
Alligator_mississippiensis	Vertebrata	Mir-26	2	2
Alligator_mississippiensis	Vertebrata	Mir-27	2	2
