species	node	family	total_hits	filtered_hits
Macaca_mulatta	Bilateria	Let-7	14	12
Macaca_mulatta	Bilateria	Mir-1	3	3
Macaca_mulatta	Eumetazoa	Mir-10	8	8
Macaca_mulatta	Vertebrata	Mir-101	2	2
Macaca_mulatta	Deuterostomia	Mir-103	3	3
Macaca_mulatta	Eutheria	Mir-105	2	2
Macaca_mulatta	Catarrhini	Mir-1180	1	1
Macaca_mulatta	Vertebrata	Mir-122	1	1
Macaca_mulatta	Bilateria	Mir-124	3	3
Macaca_mulatta	Eutheria	Mir-1247	1	1
Macaca_mulatta	Eutheria	Mir-1249	1	1
Macaca_mulatta	Theria	Mir-1251	1	1
Macaca_mulatta	Olfactores	Mir-126	1	1
Macaca_mulatta	Eutheria	Mir-127	1	1
Macaca_mulatta	Eutheria	Mir-1271	11	1
Macaca_mulatta	Eutheria	Mir-1277	2060	1
Macaca_mulatta	Vertebrata	Mir-128	2	2
Macaca_mulatta	Chordata	Mir-129	2	2
Macaca_mulatta	Eutheria	Mir-1296	1	1
Macaca_mulatta	Eutheria	Mir-1298	1	1
Macaca_mulatta	Vertebrata	Mir-130	5	5
Macaca_mulatta	Eutheria	Mir-1301	1	1
Macaca_mulatta	Gnathostomata	Mir-1306	1	1
Macaca_mulatta	Eutheria	Mir-1307	1	1
Macaca_mulatta	Vertebrata	Mir-132	2	2
Macaca_mulatta	Catarrhini	Mir-1323	2	1
Macaca_mulatta	Vertebrata	Mir-1329	1	0
Macaca_mulatta	Bilateria	Mir-133	3	3
Macaca_mulatta	Eutheria	Mir-134	1	1
Macaca_mulatta	Eutheria	Mir-1343	2	0
Macaca_mulatta	Chordata	Mir-135	3	3
Macaca_mulatta	Eutheria	Mir-136	1	1
Macaca_mulatta	Bilateria	Mir-137	1	1
Macaca_mulatta	Eutheria	Mir-1379	1	0
Macaca_mulatta	Vertebrata	Mir-138	2	2
Macaca_mulatta	Gnathostomata	Mir-139	1	1
Macaca_mulatta	Vertebrata	Mir-140	1	1
Macaca_mulatta	Amniota	Mir-1416	1	0
Macaca_mulatta	Vertebrata	Mir-142	1	1
Macaca_mulatta	Vertebrata	Mir-143	1	1
Macaca_mulatta	Vertebrata	Mir-144	2	2
Macaca_mulatta	Vertebrata	Mir-145	1	1
Macaca_mulatta	Vertebrata	Mir-146	2	2
Macaca_mulatta	Vertebrata	Mir-147	2	1
Macaca_mulatta	Vertebrata	Mir-148	3	3
Macaca_mulatta	Eutheria	Mir-149	1	1
Macaca_mulatta	Olfactores	Mir-15	8	7
Macaca_mulatta	Gnathostomata	Mir-150	1	1
Macaca_mulatta	Bilateria	Mir-153	2	2
Macaca_mulatta	Eutheria	Mir-154	30	30
Macaca_mulatta	Vertebrata	Mir-155	1	1
Macaca_mulatta	Vertebrata	Mir-17	9	9
Macaca_mulatta	Tetrapoda	Mir-1805	1	0
Macaca_mulatta	Vertebrata	Mir-181	6	6
Macaca_mulatta	Bilateria	Mir-184	1	1
Macaca_mulatta	Eutheria	Mir-185	1	1
Macaca_mulatta	Mammalia	Mir-186	1	1
Macaca_mulatta	Osteichthyes	Mir-187	1	1
Macaca_mulatta	Eutheria	Mir-188	3	3
Macaca_mulatta	Vertebrata	Mir-19	4	4
Macaca_mulatta	Bilateria	Mir-190	3	2
Macaca_mulatta	Gnathostomata	Mir-191	1	1
Macaca_mulatta	Eutheria	Mir-1911	1	1
Macaca_mulatta	Eutheria	Mir-1912	2	1
Macaca_mulatta	Vertebrata	Mir-192	2	2
Macaca_mulatta	Bilateria	Mir-193	4	4
Macaca_mulatta	Vertebrata	Mir-194	3	2
Macaca_mulatta	Olfactores	Mir-196	3	3
Macaca_mulatta	Eutheria	Mir-197	2	2
Macaca_mulatta	Vertebrata	Mir-199	3	3
Macaca_mulatta	Vertebrata	Mir-202	2	1
Macaca_mulatta	Vertebrata	Mir-203	2	1
Macaca_mulatta	Vertebrata	Mir-204	2	2
Macaca_mulatta	Vertebrata	Mir-205	2	1
Macaca_mulatta	Vertebrata	Mir-208	2	2
Macaca_mulatta	Vertebrata	Mir-21	1	1
Macaca_mulatta	Bilateria	Mir-210	1	1
Macaca_mulatta	Eutheria	Mir-2114	1	1
Macaca_mulatta	Gnathostomata	Mir-214	1	1
Macaca_mulatta	Bilateria	Mir-216	2	2
Macaca_mulatta	Chordata	Mir-217	1	1
Macaca_mulatta	Vertebrata	Mir-218	2	2
Macaca_mulatta	Bilateria	Mir-219	2	2
Macaca_mulatta	Bilateria	Mir-22	1	1
Macaca_mulatta	Vertebrata	Mir-221	2	2
Macaca_mulatta	Vertebrata	Mir-223	1	1
Macaca_mulatta	Eutheria	Mir-224	1	1
Macaca_mulatta	Vertebrata	Mir-23	2	2
Macaca_mulatta	Eutheria	Mir-2355	1	1
Macaca_mulatta	Boreoeutheria	Mir-2387	2	0
Macaca_mulatta	Vertebrata	Mir-24	2	2
Macaca_mulatta	Eutheria	Mir-2483	1	0
Macaca_mulatta	Vertebrata	Mir-26	3	3
Macaca_mulatta	Vertebrata	Mir-27	2	2
Macaca_mulatta	Eutheria	Mir-28	3	3
Macaca_mulatta	Bilateria	Mir-29	4	4
Macaca_mulatta	Eutheria	Mir-296	1	1
Macaca_mulatta	Vertebrata	Mir-30	6	6
Macaca_mulatta	Eutheria	Mir-3059	1	1
Macaca_mulatta	Eutheria	Mir-3085	1	1
Macaca_mulatta	Bilateria	Mir-31	1	1
Macaca_mulatta	Catarrhini	Mir-3140	1	1
Macaca_mulatta	Catarrhini	Mir-3145	1	1
Macaca_mulatta	Catarrhini	Mir-3146	1	1
Macaca_mulatta	Catarrhini	Mir-3173	4	1
Macaca_mulatta	Gnathostomata	Mir-32	1	1
Macaca_mulatta	Eutheria	Mir-320	20	4
Macaca_mulatta	Catarrhini	Mir-3200	3	1
Macaca_mulatta	Eutheria	Mir-324	1	1
Macaca_mulatta	Theria	Mir-325	9	1
Macaca_mulatta	Eutheria	Mir-326	1	1
Macaca_mulatta	Eutheria	Mir-328	1	1
Macaca_mulatta	Bilateria	Mir-33	2	2
Macaca_mulatta	Eutheria	Mir-330	1	1
Macaca_mulatta	Eutheria	Mir-331	1	1
Macaca_mulatta	Eutheria	Mir-335	1	1
Macaca_mulatta	Eutheria	Mir-337	1	1
Macaca_mulatta	Vertebrata	Mir-338	1	1
Macaca_mulatta	Eutheria	Mir-339	2	1
Macaca_mulatta	Bilateria	Mir-34	5	5
Macaca_mulatta	Theria	Mir-340	8	1
Macaca_mulatta	Eutheria	Mir-342	1	1
Macaca_mulatta	Eutheria	Mir-345	1	1
Macaca_mulatta	Eutheria	Mir-346	1	1
Macaca_mulatta	Eutheria	Mir-361	1	1
Macaca_mulatta	Theria	Mir-3613	1	1
Macaca_mulatta	Catarrhini	Mir-3617	1	1
Macaca_mulatta	Eutheria	Mir-362	8	6
Macaca_mulatta	Boreoeutheria	Mir-370	1	1
Macaca_mulatta	Eutheria	Mir-374	2	2
Macaca_mulatta	Bilateria	Mir-375	1	1
Macaca_mulatta	Eutheria	Mir-376	7	6
Macaca_mulatta	Eutheria	Mir-378	1	1
Macaca_mulatta	Tetrapoda	Mir-383	1	1
Macaca_mulatta	Eutheria	Mir-384	1	0
Macaca_mulatta	Catarrhini	Mir-3934	3	1
Macaca_mulatta	Eutheria	Mir-423	1	1
Macaca_mulatta	Gnathostomata	Mir-425	1	1
Macaca_mulatta	Vertebrata	Mir-430	60	60
Macaca_mulatta	Eutheria	Mir-431	1	1
Macaca_mulatta	Eutheria	Mir-432	1	1
Macaca_mulatta	Eutheria	Mir-433	1	1
Macaca_mulatta	Eutheria	Mir-448	2	1
Macaca_mulatta	Eutheria	Mir-450	3	3
Macaca_mulatta	Vertebrata	Mir-451	2	1
Macaca_mulatta	Eutheria	Mir-452	1	1
