species	node	family	total_hits	filtered_hits
Drosophila_mojavensis	Protostomia	Bantam	1	1
Drosophila_mojavensis	Arthropoda	Iab-4	1	1
Drosophila_mojavensis	Bilateria	Let-7	1	1
Drosophila_mojavensis	Bilateria	Mir-1	1	1
Drosophila_mojavensis	Eumetazoa	Mir-10	4	4
Drosophila_mojavensis	Protostomia	Mir-1175	1	1
Drosophila_mojavensis	Protostomia	Mir-12	1	1
Drosophila_mojavensis	Bilateria	Mir-124	1	1
Drosophila_mojavensis	Bilateria	Mir-133	1	1
Drosophila_mojavensis	Bilateria	Mir-137	1	1
Drosophila_mojavensis	Bilateria	Mir-184	1	1
Drosophila_mojavensis	Bilateria	Mir-190	1	1
Drosophila_mojavensis	Bilateria	Mir-193	1	0
Drosophila_mojavensis	Protostomia	Mir-2	13	13
Drosophila_mojavensis	Bilateria	Mir-2001	1	1
Drosophila_mojavensis	Bilateria	Mir-210	1	1
Drosophila_mojavensis	Bilateria	Mir-216	2	2
Drosophila_mojavensis	Bilateria	Mir-219	1	1
Drosophila_mojavensis	Bilateria	Mir-22	1	1
Drosophila_mojavensis	Bilateria	Mir-252	2	2
Drosophila_mojavensis	Arthropoda	Mir-275	1	1
Drosophila_mojavensis	Arthropoda	Mir-276	2	2
Drosophila_mojavensis	Protostomia	Mir-277	1	1
Drosophila_mojavensis	Bilateria	Mir-278	1	1
Drosophila_mojavensis	Protostomia	Mir-279	3	3
Drosophila_mojavensis	Bilateria	Mir-281	2	2
Drosophila_mojavensis	Pancrustacea	Mir-282	1	1
Drosophila_mojavensis	Bilateria	Mir-29	2	1
Drosophila_mojavensis	Pancrustacea	Mir-3	3	3
Drosophila_mojavensis	Ecdysozoa	Mir-305	1	1
Drosophila_mojavensis	Bilateria	Mir-31	2	2
Drosophila_mojavensis	Bilateria	Mir-315	1	1
Drosophila_mojavensis	Pancrustacea	Mir-316	2	1
Drosophila_mojavensis	Protostomia	Mir-317	1	1
Drosophila_mojavensis	Bilateria	Mir-33	1	1
Drosophila_mojavensis	Bilateria	Mir-34	1	1
Drosophila_mojavensis	Bilateria	Mir-375	1	1
Drosophila_mojavensis	Protostomia	Mir-67	1	1
Drosophila_mojavensis	Bilateria	Mir-7	1	1
Drosophila_mojavensis	Bilateria	Mir-76	1	1
Drosophila_mojavensis	Bilateria	Mir-8	1	1
Drosophila_mojavensis	Protostomia	Mir-87	1	1
Drosophila_mojavensis	Bilateria	Mir-9	5	4
Drosophila_mojavensis	Bilateria	Mir-92	5	5
Drosophila_mojavensis	Bilateria	Mir-96	1	1
Drosophila_mojavensis	Pancrustacea	Mir-965	1	1
