species	node	family	total_hits	filtered_hits
Aedes_aegypti	Protostomia	Bantam	2	1
Aedes_aegypti	Arthropoda	Iab-4	3	2
Aedes_aegypti	Bilateria	Let-7	1	1
Aedes_aegypti	Bilateria	Mir-1	3	1
Aedes_aegypti	Eumetazoa	Mir-10	4	4
Aedes_aegypti	Protostomia	Mir-1175	1	1
Aedes_aegypti	Protostomia	Mir-12	1	1
Aedes_aegypti	Bilateria	Mir-124	1	1
Aedes_aegypti	Bilateria	Mir-133	1	1
Aedes_aegypti	Bilateria	Mir-137	2	2
Aedes_aegypti	Bilateria	Mir-184	1	1
Aedes_aegypti	Bilateria	Mir-190	1	1
Aedes_aegypti	Bilateria	Mir-193	2	1
Aedes_aegypti	Protostomia	Mir-1993	1	0
Aedes_aegypti	Protostomia	Mir-2	5	5
Aedes_aegypti	Bilateria	Mir-210	1	1
Aedes_aegypti	Bilateria	Mir-216	2	1
Aedes_aegypti	Bilateria	Mir-219	1	1
Aedes_aegypti	Bilateria	Mir-22	1	1
Aedes_aegypti	Bilateria	Mir-252	1	1
Aedes_aegypti	Arthropoda	Mir-275	1	1
Aedes_aegypti	Arthropoda	Mir-276	2	2
Aedes_aegypti	Pancrustacea	Mir-2765	1	1
Aedes_aegypti	Protostomia	Mir-277	1	1
Aedes_aegypti	Bilateria	Mir-278	1	1
Aedes_aegypti	Protostomia	Mir-279	6	6
Aedes_aegypti	Bilateria	Mir-281	1	1
Aedes_aegypti	Pancrustacea	Mir-282	5	2
Aedes_aegypti	Bilateria	Mir-29	2	1
Aedes_aegypti	Pancrustacea	Mir-3	3	3
Aedes_aegypti	Ecdysozoa	Mir-305	2	1
Aedes_aegypti	Bilateria	Mir-31	1	1
Aedes_aegypti	Bilateria	Mir-315	1	1
Aedes_aegypti	Pancrustacea	Mir-316	1	1
Aedes_aegypti	Protostomia	Mir-317	2	2
Aedes_aegypti	Bilateria	Mir-33	1	1
Aedes_aegypti	Bilateria	Mir-34	1	1
Aedes_aegypti	Bilateria	Mir-375	1	1
Aedes_aegypti	Protostomia	Mir-67	7	1
Aedes_aegypti	Bilateria	Mir-7	2	1
Aedes_aegypti	Bilateria	Mir-71	1	1
Aedes_aegypti	Bilateria	Mir-76	1	1
Aedes_aegypti	Bilateria	Mir-8	2	1
Aedes_aegypti	Protostomia	Mir-87	4	1
Aedes_aegypti	Bilateria	Mir-9	5	5
Aedes_aegypti	Bilateria	Mir-92	2	2
Aedes_aegypti	Bilateria	Mir-96	3	3
Aedes_aegypti	Pancrustacea	Mir-965	1	1
