species	node	family	total_hits	filtered_hits
Homo_sapiens	Bilateria	Let-7	12	12
Homo_sapiens	Bilateria	Mir-1	3	3
Homo_sapiens	Eumetazoa	Mir-10	8	8
Homo_sapiens	Vertebrata	Mir-101	2	2
Homo_sapiens	Deuterostomia	Mir-103	3	3
Homo_sapiens	Eutheria	Mir-105	2	2
Homo_sapiens	Catarrhini	Mir-1180	1	1
Homo_sapiens	Vertebrata	Mir-122	2	1
Homo_sapiens	Bilateria	Mir-124	3	3
Homo_sapiens	Eutheria	Mir-1247	1	1
Homo_sapiens	Eutheria	Mir-1249	1	1
Homo_sapiens	Theria	Mir-1251	1	1
Homo_sapiens	Olfactores	Mir-126	1	1
Homo_sapiens	Eutheria	Mir-127	1	1
Homo_sapiens	Eutheria	Mir-1271	13	1
Homo_sapiens	Eutheria	Mir-1277	4782	1
Homo_sapiens	Vertebrata	Mir-128	2	2
Homo_sapiens	Chordata	Mir-129	2	2
Homo_sapiens	Eutheria	Mir-1296	1	1
Homo_sapiens	Eutheria	Mir-1298	1	1
Homo_sapiens	Vertebrata	Mir-130	5	5
Homo_sapiens	Eutheria	Mir-1301	1	1
Homo_sapiens	Gnathostomata	Mir-1306	1	1
Homo_sapiens	Eutheria	Mir-1307	1	1
Homo_sapiens	Vertebrata	Mir-132	2	2
Homo_sapiens	Catarrhini	Mir-1323	1	1
Homo_sapiens	Vertebrata	Mir-1329	1	0
Homo_sapiens	Bilateria	Mir-133	3	3
Homo_sapiens	Eutheria	Mir-134	1	1
Homo_sapiens	Eutheria	Mir-1343	2	1
Homo_sapiens	Chordata	Mir-135	3	3
Homo_sapiens	Eutheria	Mir-136	1	1
Homo_sapiens	Bilateria	Mir-137	1	1
Homo_sapiens	Eutheria	Mir-1379	1	0
Homo_sapiens	Vertebrata	Mir-138	2	2
Homo_sapiens	Gnathostomata	Mir-139	1	1
Homo_sapiens	Vertebrata	Mir-140	1	1
Homo_sapiens	Amniota	Mir-1416	1	0
Homo_sapiens	Vertebrata	Mir-142	1	1
Homo_sapiens	Vertebrata	Mir-143	1	1
Homo_sapiens	Vertebrata	Mir-144	1	1
Homo_sapiens	Vertebrata	Mir-145	2	1
Homo_sapiens	Vertebrata	Mir-146	2	2
Homo_sapiens	Vertebrata	Mir-147	3	1
Homo_sapiens	Vertebrata	Mir-148	3	3
Homo_sapiens	Eutheria	Mir-149	1	1
Homo_sapiens	Olfactores	Mir-15	7	7
Homo_sapiens	Gnathostomata	Mir-150	1	1
Homo_sapiens	Bilateria	Mir-153	2	2
Homo_sapiens	Eutheria	Mir-154	30	30
Homo_sapiens	Vertebrata	Mir-155	1	1
Homo_sapiens	Vertebrata	Mir-17	8	8
Homo_sapiens	Vertebrata	Mir-181	6	6
Homo_sapiens	Bilateria	Mir-184	1	1
Homo_sapiens	Eutheria	Mir-185	1	1
Homo_sapiens	Mammalia	Mir-186	1	1
Homo_sapiens	Osteichthyes	Mir-187	2	1
Homo_sapiens	Eutheria	Mir-188	3	3
Homo_sapiens	Vertebrata	Mir-19	3	3
Homo_sapiens	Bilateria	Mir-190	2	2
Homo_sapiens	Gnathostomata	Mir-191	1	1
Homo_sapiens	Eutheria	Mir-1911	1	1
Homo_sapiens	Eutheria	Mir-1912	2	1
Homo_sapiens	Vertebrata	Mir-192	2	2
