species	node	family	total_hits	filtered_hits
Eptatretus_burgeri	Bilateria	Let-7	8	8
Eptatretus_burgeri	Bilateria	Mir-1	5	5
Eptatretus_burgeri	Eumetazoa	Mir-10	4	4
Eptatretus_burgeri	Vertebrata	Mir-122	2	2
Eptatretus_burgeri	Bilateria	Mir-124	2	2
Eptatretus_burgeri	Olfactores	Mir-126	1	1
Eptatretus_burgeri	Vertebrata	Mir-128	1	1
Eptatretus_burgeri	Chordata	Mir-129	2	2
Eptatretus_burgeri	Vertebrata	Mir-130	6	6
Eptatretus_burgeri	Vertebrata	Mir-132	2	2
Eptatretus_burgeri	Vertebrata	Mir-1329	1	0
Eptatretus_burgeri	Bilateria	Mir-133	6	6
Eptatretus_burgeri	Chordata	Mir-135	3	3
Eptatretus_burgeri	Bilateria	Mir-137	1	1
Eptatretus_burgeri	Vertebrata	Mir-138	2	2
Eptatretus_burgeri	Vertebrata	Mir-140	4	2
Eptatretus_burgeri	Vertebrata	Mir-142	1	1
Eptatretus_burgeri	Vertebrata	Mir-143	1	1
Eptatretus_burgeri	Vertebrata	Mir-144	1	1
Eptatretus_burgeri	Vertebrata	Mir-145	1	1
Eptatretus_burgeri	Vertebrata	Mir-146	1	1
Eptatretus_burgeri	Vertebrata	Mir-148	1	1
Eptatretus_burgeri	Olfactores	Mir-15	3	2
Eptatretus_burgeri	Bilateria	Mir-153	3	3
Eptatretus_burgeri	Vertebrata	Mir-155	1	1
Eptatretus_burgeri	Vertebrata	Mir-17	11	5
Eptatretus_burgeri	Vertebrata	Mir-1788	1	1
Eptatretus_burgeri	Vertebrata	Mir-181	4	4
Eptatretus_burgeri	Bilateria	Mir-184	1	0
Eptatretus_burgeri	Vertebrata	Mir-19	3	2
Eptatretus_burgeri	Bilateria	Mir-190	2	2
Eptatretus_burgeri	Vertebrata	Mir-192	1	1
Eptatretus_burgeri	Bilateria	Mir-193	1	1
Eptatretus_burgeri	Vertebrata	Mir-194	1	1
Eptatretus_burgeri	Olfactores	Mir-196	2	2
Eptatretus_burgeri	Vertebrata	Mir-199	2	2
Eptatretus_burgeri	Vertebrata	Mir-202	1	1
Eptatretus_burgeri	Vertebrata	Mir-203	3	2
Eptatretus_burgeri	Vertebrata	Mir-204	1	1
Eptatretus_burgeri	Vertebrata	Mir-205	2	2
Eptatretus_burgeri	Vertebrata	Mir-208	1	1
Eptatretus_burgeri	Vertebrata	Mir-21	1	1
Eptatretus_burgeri	Bilateria	Mir-210	1	1
Eptatretus_burgeri	Bilateria	Mir-216	2	2
Eptatretus_burgeri	Chordata	Mir-217	2	2
Eptatretus_burgeri	Vertebrata	Mir-218	2	2
Eptatretus_burgeri	Bilateria	Mir-219	2	1
Eptatretus_burgeri	Bilateria	Mir-22	1	1
Eptatretus_burgeri	Vertebrata	Mir-221	1	1
Eptatretus_burgeri	Vertebrata	Mir-223	1	1
Eptatretus_burgeri	Vertebrata	Mir-23	2	2
Eptatretus_burgeri	Vertebrata	Mir-24	1	1
Eptatretus_burgeri	Vertebrata	Mir-26	4	3
Eptatretus_burgeri	Vertebrata	Mir-27	2	2
Eptatretus_burgeri	Bilateria	Mir-281	1	1
Eptatretus_burgeri	Bilateria	Mir-29	4	4
Eptatretus_burgeri	Vertebrata	Mir-30	6	6
Eptatretus_burgeri	Bilateria	Mir-31	1	1
Eptatretus_burgeri	Bilateria	Mir-33	1	1
Eptatretus_burgeri	Vertebrata	Mir-338	3	3
Eptatretus_burgeri	Bilateria	Mir-34	3	3
Eptatretus_burgeri	Bilateria	Mir-375	2	2
Eptatretus_burgeri	Vertebrata	Mir-430	5	5
Eptatretus_burgeri	Vertebrata	Mir-451	1	1
Eptatretus_burgeri	Vertebrata	Mir-455	1	1
Eptatretus_burgeri	Vertebrata	Mir-456	1	1
Eptatretus_burgeri	Vertebrata	Mir-459	1	1
Eptatretus_burgeri	Vertebrata	Mir-499	1	1
Eptatretus_burgeri	Bilateria	Mir-7	4	4
Eptatretus_burgeri	Bilateria	Mir-71	1	0
Eptatretus_burgeri	Bilateria	Mir-8	3	3
Eptatretus_burgeri	Vertebrata	Mir-875	1	1
Eptatretus_burgeri	Bilateria	Mir-9	4	4
Eptatretus_burgeri	Bilateria	Mir-92	4	4
Eptatretus_burgeri	Bilateria	Mir-96	3	3
