species	node	family	total_hits	filtered_hits
Xenoturbella_bocki	Bilateria	Let-7	1	1
Xenoturbella_bocki	Bilateria	Mir-1	2	1
Xenoturbella_bocki	Eumetazoa	Mir-10	3	3
Xenoturbella_bocki	Deuterostomia	Mir-103	1	1
Xenoturbella_bocki	Bilateria	Mir-124	1	1
Xenoturbella_bocki	Bilateria	Mir-133	1	1
Xenoturbella_bocki	Bilateria	Mir-137	1	1
Xenoturbella_bocki	Bilateria	Mir-153	2	1
Xenoturbella_bocki	Bilateria	Mir-190	2	1
Xenoturbella_bocki	Bilateria	Mir-193	4	1
Xenoturbella_bocki	Bilateria	Mir-2001	1	1
Xenoturbella_bocki	Bilateria	Mir-210	2	2
Xenoturbella_bocki	Bilateria	Mir-219	1	1
Xenoturbella_bocki	Bilateria	Mir-242	3	0
Xenoturbella_bocki	Bilateria	Mir-252	7	7
Xenoturbella_bocki	Bilateria	Mir-278	1	1
Xenoturbella_bocki	Bilateria	Mir-29	2	2
Xenoturbella_bocki	Bilateria	Mir-31	1	1
Xenoturbella_bocki	Bilateria	Mir-33	3	1
Xenoturbella_bocki	Bilateria	Mir-34	1	1
Xenoturbella_bocki	Bilateria	Mir-7	2	1
Xenoturbella_bocki	Bilateria	Mir-71	1	0
Xenoturbella_bocki	Bilateria	Mir-8	7	0
Xenoturbella_bocki	Bilateria	Mir-9	1	1
Xenoturbella_bocki	Bilateria	Mir-92	8	6
Xenoturbella_bocki	Bilateria	Mir-96	6	1
