species	node	family	total_hits	filtered_hits
Sphenodon_punctatus	Bilateria	Let-7	16	14
Sphenodon_punctatus	Bilateria	Mir-1	6	4
Sphenodon_punctatus	Eumetazoa	Mir-10	10	10
Sphenodon_punctatus	Vertebrata	Mir-101	5	3
Sphenodon_punctatus	Deuterostomia	Mir-103	3	3
Sphenodon_punctatus	Vertebrata	Mir-122	1	1
Sphenodon_punctatus	Bilateria	Mir-124	6	5
Sphenodon_punctatus	Olfactores	Mir-126	1	1
Sphenodon_punctatus	Vertebrata	Mir-128	2	2
Sphenodon_punctatus	Chordata	Mir-129	4	3
Sphenodon_punctatus	Vertebrata	Mir-130	7	7
Sphenodon_punctatus	Gnathostomata	Mir-1306	1	1
Sphenodon_punctatus	Vertebrata	Mir-132	2	2
Sphenodon_punctatus	Vertebrata	Mir-1329	1	1
Sphenodon_punctatus	Bilateria	Mir-133	4	4
Sphenodon_punctatus	Chordata	Mir-135	3	3
Sphenodon_punctatus	Bilateria	Mir-137	1	1
Sphenodon_punctatus	Vertebrata	Mir-138	2	2
Sphenodon_punctatus	Gnathostomata	Mir-1388	1	1
Sphenodon_punctatus	Gnathostomata	Mir-139	3	1
Sphenodon_punctatus	Amniota	Mir-1397	1	1
Sphenodon_punctatus	Vertebrata	Mir-140	1	1
Sphenodon_punctatus	Vertebrata	Mir-142	1	1
Sphenodon_punctatus	Vertebrata	Mir-143	4	1
Sphenodon_punctatus	Vertebrata	Mir-144	1	1
Sphenodon_punctatus	Vertebrata	Mir-145	3	1
Sphenodon_punctatus	Vertebrata	Mir-146	3	3
Sphenodon_punctatus	Vertebrata	Mir-147	1	1
Sphenodon_punctatus	Vertebrata	Mir-148	3	3
Sphenodon_punctatus	Olfactores	Mir-15	11	6
Sphenodon_punctatus	Gnathostomata	Mir-150	2	1
Sphenodon_punctatus	Bilateria	Mir-153	1	1
Sphenodon_punctatus	Vertebrata	Mir-155	4	2
Sphenodon_punctatus	Tetrapoda	Mir-1662	1	1
Sphenodon_punctatus	Diapsida	Mir-1677	16916	240
Sphenodon_punctatus	Vertebrata	Mir-17	6	6
Sphenodon_punctatus	Diapsida	Mir-1720	1	1
Sphenodon_punctatus	Vertebrata	Mir-1788	2	1
Sphenodon_punctatus	Tetrapoda	Mir-1805	1	1
Sphenodon_punctatus	Vertebrata	Mir-181	7	7
Sphenodon_punctatus	Bilateria	Mir-184	2	1
Sphenodon_punctatus	Osteichthyes	Mir-187	8	1
Sphenodon_punctatus	Vertebrata	Mir-19	4	3
Sphenodon_punctatus	Bilateria	Mir-190	3	2
Sphenodon_punctatus	Gnathostomata	Mir-191	1	1
Sphenodon_punctatus	Vertebrata	Mir-192	7	2
Sphenodon_punctatus	Bilateria	Mir-193	7	4
Sphenodon_punctatus	Vertebrata	Mir-194	2	2
Sphenodon_punctatus	Olfactores	Mir-196	5	3
Sphenodon_punctatus	Vertebrata	Mir-199	3	2
Sphenodon_punctatus	Bilateria	Mir-2001	4	0
Sphenodon_punctatus	Vertebrata	Mir-202	4	1
Sphenodon_punctatus	Vertebrata	Mir-203	5	1
Sphenodon_punctatus	Vertebrata	Mir-204	3	3
Sphenodon_punctatus	Vertebrata	Mir-205	6	2
Sphenodon_punctatus	Vertebrata	Mir-208	1	1
Sphenodon_punctatus	Vertebrata	Mir-21	1	1
Sphenodon_punctatus	Bilateria	Mir-210	6	2
Sphenodon_punctatus	Gnathostomata	Mir-214	13	1
Sphenodon_punctatus	Bilateria	Mir-216	3	3
Sphenodon_punctatus	Chordata	Mir-217	1	1
Sphenodon_punctatus	Vertebrata	Mir-218	2	2
Sphenodon_punctatus	Gnathostomata	Mir-2184	2	0
Sphenodon_punctatus	Gnathostomata	Mir-2188	3	1
Sphenodon_punctatus	Bilateria	Mir-219	2	2
Sphenodon_punctatus	Bilateria	Mir-22	10	1
Sphenodon_punctatus	Vertebrata	Mir-221	4	3
Sphenodon_punctatus	Vertebrata	Mir-223	1	1
Sphenodon_punctatus	Vertebrata	Mir-23	2	1
Sphenodon_punctatus	Vertebrata	Mir-24	4	1
Sphenodon_punctatus	Bilateria	Mir-242	4	0
Sphenodon_punctatus	Vertebrata	Mir-26	3	3
Sphenodon_punctatus	Vertebrata	Mir-27	1	1
Sphenodon_punctatus	Bilateria	Mir-29	4	4
Sphenodon_punctatus	Sarcopterygii	Mir-2970	1	1
Sphenodon_punctatus	Vertebrata	Mir-30	6	6
Sphenodon_punctatus	Bilateria	Mir-31	2	1
Sphenodon_punctatus	Gnathostomata	Mir-32	3	1
Sphenodon_punctatus	Bilateria	Mir-33	8	2
Sphenodon_punctatus	Vertebrata	Mir-338	2	2
Sphenodon_punctatus	Bilateria	Mir-34	7	7
Sphenodon_punctatus	Bilateria	Mir-375	1	1
Sphenodon_punctatus	Tetrapoda	Mir-383	1	1
Sphenodon_punctatus	Chordata	Mir-4057	1	0
Sphenodon_punctatus	Gnathostomata	Mir-425	1	1
Sphenodon_punctatus	Vertebrata	Mir-430	6	6
Sphenodon_punctatus	Vertebrata	Mir-451	3	1
Sphenodon_punctatus	Vertebrata	Mir-4541	1	0
Sphenodon_punctatus	Vertebrata	Mir-455	3	1
Sphenodon_punctatus	Osteichthyes	Mir-458	2	1
Sphenodon_punctatus	Vertebrata	Mir-459	1	1
Sphenodon_punctatus	Osteichthyes	Mir-460	2	2
Sphenodon_punctatus	Osteichthyes	Mir-489	2	1
Sphenodon_punctatus	Amniota	Mir-490	1	1
Sphenodon_punctatus	Vertebrata	Mir-499	1	1
Sphenodon_punctatus	Vertebrata	Mir-551	2	2
Sphenodon_punctatus	Sarcopterygii	Mir-599	1	1
Sphenodon_punctatus	Bilateria	Mir-7	5	4
Sphenodon_punctatus	Bilateria	Mir-71	2	0
