species	node	family	total_hits	filtered_hits
Branchiostoma_floridae	Bilateria	Let-7	3	2
Branchiostoma_floridae	Bilateria	Mir-1	1	1
Branchiostoma_floridae	Eumetazoa	Mir-10	5	5
Branchiostoma_floridae	Deuterostomia	Mir-103	4	4
Branchiostoma_floridae	Bilateria	Mir-124	1	1
Branchiostoma_floridae	Chordata	Mir-129	2	2
Branchiostoma_floridae	Bilateria	Mir-133	2	2
Branchiostoma_floridae	Chordata	Mir-135	1	1
Branchiostoma_floridae	Bilateria	Mir-137	1	1
Branchiostoma_floridae	Bilateria	Mir-153	2	1
Branchiostoma_floridae	Bilateria	Mir-184	1	1
Branchiostoma_floridae	Bilateria	Mir-190	2	1
Branchiostoma_floridae	Bilateria	Mir-193	8	8
Branchiostoma_floridae	Bilateria	Mir-210	2	1
Branchiostoma_floridae	Bilateria	Mir-216	1	1
Branchiostoma_floridae	Chordata	Mir-217	1	1
Branchiostoma_floridae	Bilateria	Mir-219	1	1
Branchiostoma_floridae	Bilateria	Mir-22	9	2
Branchiostoma_floridae	Bilateria	Mir-242	1	1
Branchiostoma_floridae	Bilateria	Mir-252	2	2
Branchiostoma_floridae	Bilateria	Mir-278	2	1
Branchiostoma_floridae	Bilateria	Mir-281	1	1
Branchiostoma_floridae	Bilateria	Mir-29	4	3
Branchiostoma_floridae	Bilateria	Mir-31	1	1
Branchiostoma_floridae	Bilateria	Mir-33	4	2
Branchiostoma_floridae	Bilateria	Mir-34	11	9
Branchiostoma_floridae	Bilateria	Mir-375	1	1
Branchiostoma_floridae	Chordata	Mir-4057	1	1
Branchiostoma_floridae	Bilateria	Mir-7	1	1
Branchiostoma_floridae	Bilateria	Mir-71	1	1
Branchiostoma_floridae	Bilateria	Mir-76	1	0
Branchiostoma_floridae	Bilateria	Mir-8	3	3
Branchiostoma_floridae	Bilateria	Mir-9	3	1
Branchiostoma_floridae	Bilateria	Mir-92	8	7
Branchiostoma_floridae	Bilateria	Mir-96	13	11
