species	node	family	total_hits	filtered_hits
Lepisosteus_oculatus	Bilateria	Let-7	14	14
Lepisosteus_oculatus	Bilateria	Mir-1	3	3
Lepisosteus_oculatus	Eumetazoa	Mir-10	8	8
Lepisosteus_oculatus	Vertebrata	Mir-101	2	2
Lepisosteus_oculatus	Deuterostomia	Mir-103	4	3
Lepisosteus_oculatus	Vertebrata	Mir-122	1	1
Lepisosteus_oculatus	Bilateria	Mir-124	4	4
Lepisosteus_oculatus	Olfactores	Mir-126	1	1
Lepisosteus_oculatus	Vertebrata	Mir-128	2	2
Lepisosteus_oculatus	Chordata	Mir-129	2	2
Lepisosteus_oculatus	Vertebrata	Mir-130	6	6
Lepisosteus_oculatus	Gnathostomata	Mir-1306	1	1
Lepisosteus_oculatus	Vertebrata	Mir-132	2	2
Lepisosteus_oculatus	Vertebrata	Mir-1329	1	0
Lepisosteus_oculatus	Bilateria	Mir-133	3	3
Lepisosteus_oculatus	Chordata	Mir-135	3	3
Lepisosteus_oculatus	Bilateria	Mir-137	2	2
Lepisosteus_oculatus	Vertebrata	Mir-138	2	2
Lepisosteus_oculatus	Gnathostomata	Mir-1388	1	1
Lepisosteus_oculatus	Gnathostomata	Mir-139	1	1
Lepisosteus_oculatus	Vertebrata	Mir-140	1	1
Lepisosteus_oculatus	Vertebrata	Mir-142	1	1
Lepisosteus_oculatus	Vertebrata	Mir-143	1	1
Lepisosteus_oculatus	Vertebrata	Mir-144	2	1
Lepisosteus_oculatus	Vertebrata	Mir-145	2	1
Lepisosteus_oculatus	Vertebrata	Mir-146	2	2
Lepisosteus_oculatus	Vertebrata	Mir-147	1	1
Lepisosteus_oculatus	Vertebrata	Mir-148	4	4
Lepisosteus_oculatus	Olfactores	Mir-15	8	8
Lepisosteus_oculatus	Gnathostomata	Mir-150	1	1
Lepisosteus_oculatus	Bilateria	Mir-153	2	2
Lepisosteus_oculatus	Vertebrata	Mir-155	2	1
Lepisosteus_oculatus	Vertebrata	Mir-17	8	8
