species	node	family	total_hits	filtered_hits
Xenopus_laevis	Bilateria	Let-7	22	20
Xenopus_laevis	Bilateria	Mir-1	10	8
Xenopus_laevis	Eumetazoa	Mir-10	16	16
Xenopus_laevis	Vertebrata	Mir-101	5	4
Xenopus_laevis	Deuterostomia	Mir-103	7	5
Xenopus_laevis	Vertebrata	Mir-122	2	2
Xenopus_laevis	Bilateria	Mir-124	6	6
Xenopus_laevis	Olfactores	Mir-126	3	2
Xenopus_laevis	Vertebrata	Mir-128	4	4
Xenopus_laevis	Chordata	Mir-129	7	5
Xenopus_laevis	Vertebrata	Mir-130	12	12
Xenopus_laevis	Gnathostomata	Mir-1306	2	2
Xenopus_laevis	Vertebrata	Mir-132	5	4
Xenopus_laevis	Vertebrata	Mir-1329	2	2
Xenopus_laevis	Bilateria	Mir-133	8	8
Xenopus_laevis	Chordata	Mir-135	5	4
Xenopus_laevis	Bilateria	Mir-137	1	1
Xenopus_laevis	Vertebrata	Mir-138	2	2
Xenopus_laevis	Gnathostomata	Mir-1388	2	2
Xenopus_laevis	Gnathostomata	Mir-139	3	2
Xenopus_laevis	Vertebrata	Mir-140	2	2
Xenopus_laevis	Vertebrata	Mir-142	6	4
Xenopus_laevis	Vertebrata	Mir-143	3	2
Xenopus_laevis	Vertebrata	Mir-144	2	2
Xenopus_laevis	Vertebrata	Mir-145	3	2
Xenopus_laevis	Vertebrata	Mir-146	3	3
Xenopus_laevis	Vertebrata	Mir-147	16	0
Xenopus_laevis	Vertebrata	Mir-148	5	4
Xenopus_laevis	Olfactores	Mir-15	26	13
Xenopus_laevis	Gnathostomata	Mir-150	2	2
Xenopus_laevis	Bilateria	Mir-153	6	4
Xenopus_laevis	Vertebrata	Mir-155	3	2
Xenopus_laevis	Tetrapoda	Mir-1662	4	2
Xenopus_laevis	Vertebrata	Mir-17	15	14
Xenopus_laevis	Vertebrata	Mir-1788	2	2
Xenopus_laevis	Tetrapoda	Mir-1805	3	2
Xenopus_laevis	Vertebrata	Mir-181	9	8
Xenopus_laevis	Bilateria	Mir-184	2	2
Xenopus_laevis	Osteichthyes	Mir-187	1	0
Xenopus_laevis	Vertebrata	Mir-19	6	6
Xenopus_laevis	Bilateria	Mir-190	4	2
Xenopus_laevis	Gnathostomata	Mir-191	3	2
Xenopus_laevis	Vertebrata	Mir-192	5	4
Xenopus_laevis	Bilateria	Mir-193	5	5
Xenopus_laevis	Vertebrata	Mir-194	11	4
Xenopus_laevis	Olfactores	Mir-196	11	4
Xenopus_laevis	Vertebrata	Mir-199	4	4
Xenopus_laevis	Bilateria	Mir-2001	1	0
Xenopus_laevis	Vertebrata	Mir-202	5	2
Xenopus_laevis	Vertebrata	Mir-203	6	2
Xenopus_laevis	Vertebrata	Mir-204	4	4
Xenopus_laevis	Vertebrata	Mir-205	5	4
Xenopus_laevis	Vertebrata	Mir-208	2	2
Xenopus_laevis	Vertebrata	Mir-21	2	2
Xenopus_laevis	Bilateria	Mir-210	3	3
Xenopus_laevis	Gnathostomata	Mir-214	2	2
Xenopus_laevis	Bilateria	Mir-216	2	2
Xenopus_laevis	Chordata	Mir-217	5	2
Xenopus_laevis	Vertebrata	Mir-218	5	4
Xenopus_laevis	Gnathostomata	Mir-2184	3	2
Xenopus_laevis	Gnathostomata	Mir-2188	3	2
Xenopus_laevis	Bilateria	Mir-219	3	2
Xenopus_laevis	Bilateria	Mir-22	20	2
Xenopus_laevis	Vertebrata	Mir-221	5	4
Xenopus_laevis	Vertebrata	Mir-223	4	1
Xenopus_laevis	Vertebrata	Mir-23	6	6
Xenopus_laevis	Vertebrata	Mir-24	7	4
Xenopus_laevis	Vertebrata	Mir-26	6	6
Xenopus_laevis	Vertebrata	Mir-27	6	6
Xenopus_laevis	Bilateria	Mir-278	4	0
Xenopus_laevis	Bilateria	Mir-29	9	8
Xenopus_laevis	Sarcopterygii	Mir-2970	2	2
Xenopus_laevis	Vertebrata	Mir-30	12	12
Xenopus_laevis	Bilateria	Mir-31	2	2
Xenopus_laevis	Bilateria	Mir-315	1	1
Xenopus_laevis	Gnathostomata	Mir-32	2	1
Xenopus_laevis	Bilateria	Mir-33	9	4
Xenopus_laevis	Vertebrata	Mir-338	5	4
Xenopus_laevis	Bilateria	Mir-34	18	18
Xenopus_laevis	Bilateria	Mir-375	3	3
Xenopus_laevis	Tetrapoda	Mir-383	2	2
Xenopus_laevis	Gnathostomata	Mir-425	2	2
Xenopus_laevis	Vertebrata	Mir-430	23	23
Xenopus_laevis	Vertebrata	Mir-451	2	2
Xenopus_laevis	Vertebrata	Mir-455	4	2
Xenopus_laevis	Vertebrata	Mir-456	2	2
Xenopus_laevis	Osteichthyes	Mir-458	3	2
Xenopus_laevis	Vertebrata	Mir-459	2	2
Xenopus_laevis	Osteichthyes	Mir-460	4	4
Xenopus_laevis	Osteichthyes	Mir-489	4	2
Xenopus_laevis	Vertebrata	Mir-499	2	2
Xenopus_laevis	Vertebrata	Mir-551	4	4
Xenopus_laevis	Bilateria	Mir-7	30	6
Xenopus_laevis	Bilateria	Mir-71	2	0
Xenopus_laevis	Osteichthyes	Mir-7147	2	2
Xenopus_laevis	Osteichthyes	Mir-722	120	0
Xenopus_laevis	Gnathostomata	Mir-725	2	2
Xenopus_laevis	Osteichthyes	Mir-726	2	2
Xenopus_laevis	Osteichthyes	Mir-737	2	0
Xenopus_laevis	Bilateria	Mir-76	1	0
Xenopus_laevis	Bilateria	Mir-8	7	6
Xenopus_laevis	Vertebrata	Mir-875	1	0
Xenopus_laevis	Bilateria	Mir-9	14	8
Xenopus_laevis	Bilateria	Mir-92	14	14
Xenopus_laevis	Bilateria	Mir-96	8	6
